#Version: 1.2
#Fields: StartDevice,StartPort,EndDevice,EndPort,LinkSpeed
akl01-96cbe-1a,xe-0/3/2,ExtIsp-akl01_96cbe_1a-AS9500,null-0,10000
akl01-96cbe-1a,xe-7/1/3,ExtIsp-akl01_96cbe_1a-AS9500,null-1,10000
akl01-96cbe-1a,xe-4/0/1,ier01.akl30,et-0/0/41:3,10000
akl01-96cbe-1a,xe-4/0/0,ier01.akl30,et-0/0/5:3,10000
akl01-96cbe-1a,xe-3/3/0,ier02.akl30,et-0/0/41:3,10000
akl01-96cbe-1a,xe-3/3/5,ier02.akl30,et-0/0/44:0,10000
akl01-96cbe-1a,xe-3/2/5,ier02.akl30,et-0/0/5:3,10000
am3-06gmr-cis-1,TenGigabitEthernet0/0/0,am3-96c-1a,xe-7/3/0,10000
am3-06gmr-cis-1,TenGigabitEthernet1/0/0,am3-96c-1a,xe-9/3/3,10000
am3-06gmr-cis-1,TenGigabitEthernet2/0/0,am3-96c-1b,xe-10/1/0,10000
am3-06gmr-cis-1,TenGigabitEthernet2/1/0,am3-96c-1b,xe-11/3/3,10000
am3-06gmr-cis-2,TenGigabitEthernet2/0/0,am3-96c-1a,xe-10/0/1,10000
am3-06gmr-cis-2,TenGigabitEthernet2/1/0,am3-96c-1a,xe-10/1/0,10000
am3-06gmr-cis-2,TenGigabitEthernet1/0/0,am3-96c-1b,xe-10/0/2,10000
am3-06gmr-cis-2,TenGigabitEthernet0/0/0,am3-96c-1b,xe-3/1/2,10000
amb-06gmr-cis-1,TenGigabitEthernet0/0/0,amb-96cbe-1a,xe-3/3/3,10000
amb-06gmr-cis-1,TenGigabitEthernet1/0/0,amb-96cbe-1a,xe-4/3/3,10000
amb-06gmr-cis-1,TenGigabitEthernet2/0/0,amb-96cbe-1b,xe-9/1/2,10000
amb-06gmr-cis-1,TenGigabitEthernet2/1/0,amb-96cbe-1b,xe-9/3/1,10000
amb-06gmr-cis-10,TenGigabitEthernet2/0/0,amb-96cbe-1a,xe-5/3/2,10000
amb-06gmr-cis-10,TenGigabitEthernet2/1/0,amb-96cbe-1a,xe-5/3/3,10000
amb-06gmr-cis-10,TenGigabitEthernet0/0/0,amb-96cbe-1b,xe-4/1/2,10000
amb-06gmr-cis-10,TenGigabitEthernet1/0/0,amb-96cbe-1b,xe-4/2/1,10000
amb-06gmr-cis-10,console,amb-39x-oob-1,2/10,9600
amb-06gmr-cis-2,TenGigabitEthernet2/0/0,amb-96cbe-1a,xe-9/1/2,10000
amb-06gmr-cis-2,TenGigabitEthernet2/1/0,amb-96cbe-1a,xe-9/3/1,10000
amb-06gmr-cis-2,TenGigabitEthernet0/0/0,amb-96cbe-1b,xe-3/3/3,10000
amb-06gmr-cis-2,TenGigabitEthernet1/0/0,amb-96cbe-1b,xe-4/3/3,10000
amb-06gmr-cis-3,TenGigabitEthernet1/0/0,amb-96cbe-1a,xe-4/3/1,10000
amb-06gmr-cis-3,TenGigabitEthernet0/0/0,amb-96cbe-1a,xe-4/3/2,10000
amb-06gmr-cis-3,TenGigabitEthernet2/1/0,amb-96cbe-1b,xe-2/3/3,10000
amb-06gmr-cis-3,TenGigabitEthernet2/0/0,amb-96cbe-1b,xe-3/2/3,10000
amb-06gmr-cis-4,TenGigabitEthernet2/1/0,amb-96cbe-1a,xe-2/3/3,10000
amb-06gmr-cis-4,TenGigabitEthernet2/0/0,amb-96cbe-1a,xe-3/2/3,10000
amb-06gmr-cis-4,TenGigabitEthernet1/0/0,amb-96cbe-1b,xe-4/3/1,10000
amb-06gmr-cis-4,TenGigabitEthernet0/0/0,amb-96cbe-1b,xe-4/3/2,10000
amb-06gmr-cis-5,TenGigabitEthernet0/0/0,amb-96cbe-1a,xe-1/1/0:0,10000
amb-06gmr-cis-5,TenGigabitEthernet1/0/0,amb-96cbe-1a,xe-9/2/3,10000
amb-06gmr-cis-5,TenGigabitEthernet2/0/0,amb-96cbe-1b,xe-2/2/2,10000
amb-06gmr-cis-5,TenGigabitEthernet2/1/0,amb-96cbe-1b,xe-2/2/6,10000
amb-06gmr-cis-6,TenGigabitEthernet2/0/0,amb-96cbe-1a,xe-10/1/2,10000
amb-06gmr-cis-6,TenGigabitEthernet2/1/0,amb-96cbe-1a,xe-10/1/3,10000
amb-06gmr-cis-6,TenGigabitEthernet0/0/0,amb-96cbe-1b,xe-3/1/1,10000
amb-06gmr-cis-6,TenGigabitEthernet1/0/0,amb-96cbe-1b,xe-3/1/3,10000
amb-06gmr-cis-7,TenGigabitEthernet0/0/0,amb-96cbe-1a,xe-2/1/1,10000
amb-06gmr-cis-7,TenGigabitEthernet1/0/0,amb-96cbe-1a,xe-3/0/3,10000
amb-06gmr-cis-7,TenGigabitEthernet2/0/0,amb-96cbe-1b,xe-1/1/0:3,10000
amb-06gmr-cis-7,TenGigabitEthernet2/1/0,amb-96cbe-1b,xe-2/0/0,10000
amb-06gmr-cis-8,TenGigabitEthernet2/0/0,amb-96cbe-1a,xe-4/0/1,10000
amb-06gmr-cis-8,TenGigabitEthernet2/1/0,amb-96cbe-1a,xe-5/0/2,10000
amb-06gmr-cis-8,TenGigabitEthernet0/0/0,amb-96cbe-1b,xe-3/0/1,10000
amb-06gmr-cis-8,TenGigabitEthernet1/0/0,amb-96cbe-1b,xe-4/0/1,10000
amb-06gmr-cis-9,TenGigabitEthernet0/0/0,amb-96cbe-1a,xe-5/2/3,10000
amb-06gmr-cis-9,TenGigabitEthernet1/0/0,amb-96cbe-1a,xe-5/3/1,10000
amb-06gmr-cis-9,TenGigabitEthernet2/0/0,amb-96cbe-1b,xe-4/2/2,10000
amb-06gmr-cis-9,TenGigabitEthernet2/1/0,amb-96cbe-1b,xe-4/2/3,10000
amb-06gmr-cis-9,console,amb-39x-oob-1,2/9,9600
amb-09xgmr-cis-1,HundredGigE0/0/0,amb-96cbe-1a,et-0/1/2,100000
amb-09xgmr-cis-1,HundredGigE1/0/0,amb-96cbe-1b,et-0/1/5,100000
amb-09xgmr-cis-1,console,amb-39x-oob-1,2/16,9600
amb-09xgmr-cis-2,HundredGigE1/0/0,amb-96cbe-1a,et-0/1/5,100000
amb-09xgmr-cis-2,HundredGigE0/0/0,amb-96cbe-1b,et-0/1/2,100000
amb-09xgmr-cis-2,console,amb-39x-oob-1,2/17,9600
amb-24rr-1,xe-1/0/0,amb-96cbe-1a,xe-4/3/0,10000
